Phi / grad;N links;N rechts;Druck_start / mbar;Druck_start_time / s;Druck_stop / mbar;Druck_stop_time / s
0;1224;1235;21;3290;20;3695
30;1428;1311;20;3755;20;4150
60;1656;1277;19;4380;19;4920
90;1839;1272;18;5000;18;5440
120;1652;1272;18;5510;17;5910
150;1362;1271;17;5990;17;6410
180;1281;1254;83;120;30;480
210;1307;1258;29;640;26;1040
240;1347;1571;25;1200;24;1640
270;1334;1859;23;1840;22;2330
300;1299;1598;22;2375;21;2775
330;1242;1313;21;2825;21;3230
360;1224;1235;21;3290;20;3695
180;1288;1257;17;6475;17;6950
